Item,Method,Validation_MAE,Validation_RMSE,Validation_MAPE_pct,R2,Best_for_item
Tritanium,Linear Regression,0.045729,0.050433,1.103148,0.739098,yes
Tritanium,Holt-Winters ETS,0.105214,0.119559,2.546277,0.809093,no
Tritanium,ARIMA,0.053086,0.074924,1.293522,0.764278,no
Tritanium,AutoReg,0.126186,0.137389,3.047109,0.831631,no
Pyerite,Linear Regression,0.260157,0.279972,1.391693,0.718607,no
Pyerite,Holt-Winters ETS,0.261329,0.303166,1.3932,0.780324,no
Pyerite,ARIMA,0.113486,0.137369,0.604918,-27.370504,yes
Pyerite,AutoReg,0.128014,0.150847,0.682376,0.678659,no
Mexallon,Linear Regression,2.529557,2.692396,3.744592,0.44293,no
Mexallon,Holt-Winters ETS,3.015,3.406479,4.495881,0.843716,no
Mexallon,ARIMA,1.1237,1.331032,1.664587,-8.438402,yes
Mexallon,AutoReg,3.234543,3.692172,4.826233,0.861477,no
Isogen,Linear Regression,19.349486,19.860419,8.775212,0.586192,no
Isogen,Holt-Winters ETS,6.931971,7.400565,3.143771,0.816625,yes
Isogen,ARIMA,8.339871,9.117004,3.786034,-1.17689,no
Isogen,AutoReg,25.899557,27.797101,11.720191,0.861581,no
Nocxium,Linear Regression,49.9465,54.525386,6.096428,0.003861,no
Nocxium,Holt-Winters ETS,37.669871,42.95043,4.610551,0.764841,yes
Nocxium,ARIMA,47.017886,52.359961,5.746342,-15.212229,no
Nocxium,AutoReg,41.6496,47.052782,5.094692,0.679104,no
